,api_id,source_api_id,api_name,source_name
133,1014,4358,glutargin,Drug Central
134,1031,559526,silver diammine fluoride,AACT
135,1049,713133,pf-05180999,AACT
136,1062,678123,kovacaine,AACT
137,1063,805880,123i-altropane,AACT
138,1065,860125,123i iner,AACT
139,1066,786356,i-123-mni-168,AACT
140,1067,772851,123i mni-340,AACT
141,1069,807532,123i-mip-1095,AACT
142,1070,696223,123i-cmice,AACT
143,1071,DB13021,123i-iodometomidate,DrugBank
144,1073,,iobenguane i 123 injection,nme
145,1075,769306,123i-mip-1072,AACT
146,1077,822645,124i-cg250,AACT
147,1078,598659,124i-humanized 3f8,AACT
148,1079,824926,124i-iodo-azomycin galacto-pyranoside,AACT
149,1080,715728,124i-mu 11-1f4,AACT
150,1081,692878,124i-mibg,AACT
151,1084,537300,124i-pu-ad,AACT
152,1095,762135,1278863a,AACT
153,1101,832408,retinoic acid,AACT
154,1104,617703,acetylated lysophosphatidylcholine,AACT
155,1115,883673,131i-lipiodol,AACT
156,1122,802855,131i-mip-1145,AACT
157,1126,843747,131i-3f8,AACT
158,1127,755424,131i-8h9,AACT
159,1129,737090,131i-f16sip,AACT
160,1130,863315,131i-hua33,AACT
161,1131,736773,radretumab,AACT
162,1132,752081,131i-l19sip,AACT
163,1135,500269,131i-mip-1095,AACT
164,1136,681030,131i-rituximab,AACT
165,1137,612055,131i-sibrotuzumab,AACT
166,1138,557992,131i-tenatumomab,AACT
167,1139,86278273,131i-tm-601,PubChem
168,1144,DB00972,azelastine,repoDB
169,1152,681147,13c-uracil,AACT
170,1153,776618,13c5-calcium-l-leucovorin,AACT
171,1184,800307,azd1236,AACT
172,1185,587351,bi 409306,AACT
173,1186,569264,biib061,AACT
174,1188,517711,fyu-981,AACT
175,1189,633343,jnj-39823277,AACT
176,1193,562278,act-541468,AACT
177,1195,519768,asp1707,AACT
178,1197,663878,prodrug isavuconazonium sulfate,AACT
179,1198,4339,pyronaridine tetraphosphate,Drug Central
180,1202,CHEMBL375611,ly-404039,ChEMBL
181,1205,CHEMBL1272307,gsk649868,ChEMBL
182,1221,DB11746,onartuzumab,DrugBank
183,1225,504595,immunose,AACT
184,1226,504593,endocine,AACT
185,1231,876670,eflornithine hdyrochloride,AACT
186,1268,DB09075,edoxaban,repoDB
187,1269,923938,sodium nitrate,AACT
188,1270,DB04485,thymidine,DrugBank
189,1284,831810,16448,AACT
190,1288,DB06789,hydroxyprogesterone caproate,repoDB
191,1307,813668,17 beta-estradiol hemihydrate,AACT
192,1314,880201,177lu-dota-cg250,AACT
193,1316,844298,177lu-cyt-500,AACT
194,1317,556873,177lu-dota-jr11,AACT
195,1319,609287,177lu-dota0-tyr3-octreotate,AACT
196,1320,121225499,177lu-dotatate,PubChem
197,1323,497873,177lu-edotreotide,AACT
198,1324,787865,111in-j591,AACT
199,1326,559292,177lu-ops201,AACT
200,1327,628276,177lu-pp-f11n,AACT
201,1328,498716,177lu-psma-617,AACT
202,1329,742244,177 lutetium,AACT
203,1343,650567,18f-dopa,AACT
204,1355,23690531,18f-naf,PubChem
205,1366,850000,188re-pti-6d2,AACT
206,1367,751894,188re-sss lipiodol,AACT
207,1368,614658,18f dcfbc,AACT
208,1373,10083297;2826728,faza,PubChem
209,1376,671093,18f fpm,AACT
210,1377,688187,18f mel050,AACT
211,1381,789087,18f-2-fluoro-2-deoxy-d-glucose fluorodeoxyglucose,AACT
212,1385,71059746,av-1451,PubChem
213,1389,714730,dcfbc,AACT
214,1390,619841,dcfpyl,AACT
215,1417,579231,18f-fds,AACT
216,1418,548880,18f-fet,AACT
217,1421,,neuraceq,nme
218,1425,630791,18f-flt-tep,AACT
219,1428,599089,18f-fluoride,AACT
220,1431,616702,18f-fluoro-dihydroxyphenylalanine,AACT
221,1432,726849,18f-fluoroacetate,AACT
222,1434,404591,fluorocholine,PubChem
223,1438,4775,fluoromethylcholine (18f),Drug Central
224,1441,662226,fluorothymidine,AACT
225,1447,621533,18f-fp-dtbz,AACT
226,1450,590350,18f-fspg,AACT
227,1451,500183,18f-irs,AACT
228,1452,593224,18f-mfbg,AACT
229,1455,499927,18f-p3bza,AACT
230,1457,726942,18f-peg6-ipqa,AACT
231,1458,570719,18f-pss232,AACT
232,1459,704906,18f-rgd,AACT
233,1461,648574,18f-sodium fluoride,AACT
234,1463,91936858,thk-5351,PubChem
235,1465,828027,18f-x,AACT
236,1470,42624345,ml10,PubChem
237,1471,734923,19 nor vitamin d,AACT
238,1473,660404,19-28z t cells,AACT
239,1485,661449,f373280,AACT
240,1501,620228,i-131 human serum albumin,AACT
241,1503,683652,"1r, 2s-methoxamine hydrochloride",AACT
242,1504,535887,1rg-cart,AACT
243,1514,630564,amnion-derived cellular cytokine,AACT
244,1528,DB00437,allopurinol,repoDB
245,1542,DB09210,piracetam,repoDB
246,1575,739667,pomx,AACT
247,1589,511218,alcoholic chlorhexidine,AACT
248,1634,801410,td1414,AACT
249,1641,DB00900,didanosine,repoDB
250,1642,3007908,fau,PubChem
251,1646,DB00818,propofol,repoDB
252,1647,795175,2-(5-fluoro-pentyl)-2-methyl-malonic-acid,AACT
253,1649,811198,2-[18f]-f-a85380,AACT
254,1650,677710,2-[18f]-fluro-3-[2(s)-2-azethidinylmethoxy]-pyridine,AACT
255,1653,DB00242,cladribine,repoDB
256,1661,DB08831,d-arabino-2-desoxyhexose,DrugBank
257,1665,664775,2-fluoropropionyl-labeled pegylated dimeric rgd peptide,AACT
258,1670,9796304,2-hydroxyoleic acid,PubChem
259,1671,DB03353,"hexahydro-2-imino-1h-thieno(3,4-d)imidazole-4-pentanoic acid",DrugBank
260,1673,DB02342,esm,DrugBank
261,1679,530334,xiang-sha-liu-jun decoction,AACT
262,1692,706073,alg-1001,AACT
263,1718,822683,hx4,AACT
264,1723,664743,pf-02545920,AACT
265,1751,DB12480,betulinic acid,DrugBank
266,1758,607935,lipid,AACT
267,1796,601153,jbm-tc4,AACT
268,1801,2689,vitamin e nicotinate,Drug Central
269,1803,DB00625,efavirenz,DrugBank
270,1813,574605,alc-919,AACT
271,1844,614425,alpha-tea,AACT
272,1848,710370,23-valent pneumococcal polysaccharide vaccine,AACT
273,1877,799516,spn-804,AACT
274,1882,DB00146,calcidiol,repoDB
275,1912,DB09112,sodium nitrite,repoDB
276,1916,896452,25-desacetyl rifapentine,AACT
277,1918,774847,recombinant hcg,AACT
278,1922,715397,lx1033,AACT
279,1929,DB05119,rilapladib,DrugBank
280,1932,754072,gsk-251154 vaccine,AACT
281,1954,835569,gsk-287615,AACT
282,1965,633527,2b3-201,AACT
283,1970,779037,2g-1 tcr retroviral vector-transduced lyn,AACT
284,1986,643554,"2-methylene-19-nor-(20s)-1,25-dihydroxyvitamin d3",AACT
285,2013,609009,xaracoll,AACT
286,2015,664245,hylan gf-20,AACT
287,2018,DB05837,osi-7836,DrugBank
288,2028,DB13090,zidebactam,DrugBank
289,2082,919747,opa-15406,AACT
290,2085,628072,sd-101,AACT
291,2087,607762,sodium pentaborate pentahydrate,AACT
292,2099,765746,3'-deoxy-3'-18f-fluorothymidine,AACT
293,2103,852502,kp24,AACT
294,2121,885828,"3-2,4 dimethoxybenzylidene",AACT
295,2137,DB01041,thalidomide,repoDB
296,2139,511337,3-v bioscience-2640,AACT
297,2187,608532,quadrivalent influenza vlp vaccine,AACT
298,2219,DB11765,pf-04991532,DrugBank
299,2249,858440,323u66,AACT
300,2255,717279,33525,AACT
301,2273,567269,diammine silver fluoride,AACT
302,2276,769148,3804-250a,AACT
303,2277,800936,3804-291,AACT
304,2303,667843,3h-cholesterol bound to albumin,AACT
305,2307,610286,3k3a-apc,AACT
306,2338,CHEMBL3137344,latiglutenase,ChEMBL
307,2386,798271,"4,4-dimethyl-benziso-2h-selenazine",AACT
308,2387,826807,fluoropaclitaxel,AACT
309,2388,625199,4-1bb selected til,AACT
310,2390,DB06637,dalfampridine,repoDB
311,2392,DB00233,aminosalicylic acid,repoDB
312,2393,634827,4-demethyl-4-cholesteryloxycarbonylpenclomedine,AACT
313,2399,1401,mendiaxon,Drug Central
314,2498,811854,4975,AACT
315,2524,DB13101,4sc-202,DrugBank
316,2525,DB12669,4sc-203,DrugBank
317,2526,759798,4sc-205,AACT
318,2533,729267,5 ari,AACT
319,2549,667409,grass allergen extract,AACT
320,2573,791092,metagliptin,AACT
321,2658,DB01262,decitabine,repoDB
322,2659,DB00928,azacitidine,repoDB
323,2678,DB12957,fdcyd,DrugBank
324,2753,871029,5-hydroxy-tryptamine,AACT
325,2770,808114,beriplex,AACT
326,2773,DB11805,saracatinib,DrugBank
327,2774,4819,opc-67683,Drug Central
328,2779,522415,ksl-2,AACT
329,2780,789405,lx3305,AACT
330,2781,DB11816,omecamtiv mecarbil,DrugBank
331,2782,DB12035,sarecycline,DrugBank
332,2783,737614,pb1023,AACT
333,2784,649571,pf-05231023,AACT
334,2785,DB05495,pg-530742,DrugBank
335,2788,809591,s-777469,AACT
336,2789,643485,sp2086,AACT
337,2791,844499,ave5530,AACT
338,2792,670926,cr8020,AACT
339,2809,2840,vitamin d3,Drug Central
340,2815,820828,grass pollen allergen extract,AACT
341,2816,873872,house dust mites allergen extract,AACT
342,2820,596463,glpg1837,AACT
343,2822,599533,isomaltoside,AACT
344,2827,1725,metformin hydrochloride,Drug Central
345,2831,DB00727,nitroglycerin,repoDB
346,2832,DB00588,fluticasone propionate,repoDB
347,2834,630519,colloid,AACT
348,2836,DB01109,heparin,repoDB
349,2848,553781,nano-efavirenz,AACT
350,2849,,xadago,nme
351,2850,592020,514g3,AACT
352,2851,601245,51cr-edta,AACT
353,2853,830417,cpg 52364,AACT
354,2857,DB01592,iron,repoDB
355,2884,703623,5lgr,AACT
356,2900,867256,dialysate,AACT
357,2910,639665,xanthohumol,PubChem
358,2937,895674,6-[18]-fluorodopamine,AACT
359,2938,CHEMBL2110687,fluorodopa,ChEMBL
360,2942,626408,6-dig,AACT
361,2949,DB00959,methylprednisolone,repoDB
362,2959,DB00352,tioguanine,repoDB
363,2967,DB06643,denosumab,repoDB
364,2970,DB01083,orlistat,repoDB
365,2977,DB06590,ceftaroline fosamil,repoDB
366,2984,677777,cnto 3157,AACT
367,2986,DB00601,linezolid,repoDB
368,2988,DB00834,mifepristone,repoDB
369,2994,587669,xen-d0103,AACT
370,2998,703548,62cu-thiosemicarbazone,AACT
371,3001,630837,64-cu-plerixafor,AACT
372,3005,767455,64cu-atsm,AACT
373,3007,706609,64cu-dota-u3-1287,AACT
374,3008,DB11785,anisodamine,DrugBank
375,3021,516451,68ga-bbn-irdye800cw,AACT
376,3022,574268,68ga-bmv101,AACT
377,3026,556872,68ga-dota-jr11,AACT
378,3027,557111,68ga-dotanoc,AACT
379,3028,5156,netspot,Drug Central
380,3035,566457,68ga-exendin,AACT
381,3036,504228,68ga-hbed-cc-psma,AACT
382,3040,513666,68ga-neobomb1,AACT
383,3041,689686,68ga-nodaga-rgd,AACT
384,3042,515832,68ga-nodaga-zigf-1r:4,AACT
385,3043,528408,68ga-nota-3ptate-rgd,AACT
386,3044,569365,68ga-nota-aca-bbn,AACT
387,3045,530062,68ga-nota-ae105,AACT
388,3046,537630,68ga-nota-bbn-rgd,AACT
389,3047,563902,68ga-nota-exendin-4,AACT
390,3048,596154,68ga-nota-nfb,AACT
391,3050,618501,68ga-ops202,AACT
392,3051,515274,68ga-psma,AACT
393,3056,588678,6mhp,AACT
394,3057,DB01033,mercaptopurine,repoDB
395,3064,5486554,6beta-naltrexol,PubChem
396,3067,DB00518,albendazole,repoDB
397,3079,DB01933,7-hydroxystaurosporine,DrugBank
398,3081,657611,7-keto dehydroepiandrosterone,AACT
399,3083,129689045,7-t-butyldimethylsilyl-10-hydroxycamptothecin,PubChem
400,3088,809289,hypertonic saline,AACT
401,3132,598618,urinary follicle stimulating hormone,AACT
402,3134,554241,ds-8500a,AACT
403,3135,732483,pf-00547659,AACT
404,3159,571008,8-chloro-adenosine,AACT
405,3167,570389,ino-5150,AACT
406,3169,DB01410,ciclesonide,repoDB
407,3171,CHEMBL2103858,naronapride,ChEMBL
408,3176,4822,laninamivir octanoate hydrate,Drug Central
409,3177,612650,pf-06473871,AACT
410,3179,727974,nsi-189,AACT
411,3191,577718,mk-1075,AACT
412,3203,DB08815,lurasidone,repoDB
413,3209,11653565;9942845,epetirimod esylate,PubChem
414,3211,4610,sucrose,Drug Central
415,3213,536119,89zr-amg211,AACT
416,3214,668772,89zr dfo-mstp2109a,AACT
417,3217,657945,89zr-bevacizumab,AACT
418,3218,698077,89zr-dfo-huj591,AACT
419,3219,636684,89zr-dfo-trastuzumab,AACT
420,3220,606334,89zr-ds-8895a,AACT
421,3221,707482,89zr-gc1008,AACT
422,3222,593736,89zr-gsk2849330,AACT
423,3223,526916,89zr-gsk3128349,AACT
424,3224,545294,89zr-j591,AACT
425,3225,661426,89zr-mmot0530a,AACT
426,3226,536115,89zr-pembrolizumab,AACT
427,3228,601514,89zr-trastuzumab,AACT
428,3232,825540,8h9,AACT
429,3240,699458,"9 peptides from her-2/neu, cea, & cta",AACT
430,3243,643968,resolvine,AACT
431,3246,DB12515,aminocamptothecin,DrugBank
432,3250,912659,nonavalent hpv vaccine,AACT
433,3252,623657,crystalline lactulose,AACT
434,3263,DB00078,ibritumomab tiuxetan,repoDB
435,3264,599546,90y-imp-288,AACT
436,3271,741482,90y-ahn-12,AACT
437,3272,708060,90y-daclizumab,AACT
438,3275,580613,90y-dota-tyr3-octreotide,AACT
439,3276,755178,90y-epratuzumab tetraxetan,AACT
440,3283,885584,90y-idec-159,AACT
441,3284,719227,90y-re,AACT
442,3285,809702,90y-smt487,AACT
443,3286,839716,90y-zevalin,AACT
444,3287,629175,90y colloid,AACT
445,3290,DB09389,norgestrel,repoDB
446,3292,4193,piperaquinoline,Drug Central
447,3297,612842,99mtc-hmab biwa 4,AACT
448,3298,504144,99mtc mdp,AACT
449,3300,734380,99mtc mip 1404,AACT
450,3301,734381,99mtc mip 1405,AACT
451,3304,500515,"99mtc-3,3-diphosphono-1,2-propanodicarboxylic acid",AACT
452,3305,673459,99mtc-3prgd2,AACT
453,3306,505177,99mtc-dtpa,AACT
454,3308,679604,99mtc ec20,AACT
455,3310,502921,99mtc-etarfolatide,AACT
456,3311,DB05810,99mtc-glucarate,DrugBank
457,3314,770579,99mtc-mibi,AACT
458,3317,738373,99mtc-nc100692,AACT
459,3318,698543,99mtc-pulmobind,AACT
460,3319,617139,99mtc-tiotropium,AACT
461,3320,794704,99mtc-rbitistatin,AACT
462,3321,548753,99mtc-rhannexin v-128,AACT
463,3322,617638,99mtc-rhenium sulfide,AACT
464,3323,682067,99mtc-sc,AACT
465,3332,DB01009,ketoprofen,repoDB
466,3333,830277,deng zhan sheng mai,AACT
467,3336,843232,11c-meppep,AACT
468,3337,16126816,11c pbr28,PubChem
469,3338,56671767;53380597;16126816,pbr28,PubChem
470,3339,844725,123i-iodobenzamide,AACT
471,3340,598991,13c-leucine,AACT
472,3343,866785,[(11)c](-)-rway,AACT
473,3345,682262,desmethyl-loperamide,AACT
474,3346,721897,jnj-42491293,AACT
475,3354,614089,as2471907,AACT
476,3355,757343,az10419369,AACT
477,3356,743016,az12807110,AACT
478,3357,637469,bmt-136088,AACT
479,3358,596696,bu99008,AACT
480,3359,554147,cimbi-36,AACT
481,3361,637127,dasb,AACT
482,3362,620422,er-176,AACT
483,3365,714294,ly2428703,AACT
484,3366,823764,meppep,AACT
485,3367,16750138,mes-impy,PubChem
486,3368,50939479,mk-4232,PubChem
487,3369,555239,mk-6884,AACT
488,3370,130424,nnc-112,PubChem
489,3372,523636,pf-06427878,AACT
490,3373,924187,phno,AACT
491,3376,614993,ro6924963,AACT
492,3377,614994,ro6931643,AACT
493,3378,10668061,sch442416,PubChem
494,3379,579639,tasp0410699,AACT
495,3380,557877,ucb-j,AACT
496,3381,541579,dmdpa,AACT
497,3382,843384,av-83,AACT
498,3383,891518,i-123-5-ia85380,AACT
499,3384,854534,123i-cns 1261,AACT
500,3386,850209,123i 5-ia,AACT
501,3387,844670,123i av 39,AACT
502,3389,863889,123i impy,AACT
503,3390,830795,123i mni-308,AACT
504,3391,846228,123i mzint,AACT
505,3392,839392,123i-ibvm,AACT
506,3395,822847,123i av94,AACT
507,3396,881183,123i b-cit,AACT
508,3398,821780,123i clinde,AACT
509,3399,772616,123i mni-420,AACT
510,3400,657881,123i-mni-672,AACT
511,3401,886248,123i-beta-cit,AACT
512,3406,627745,124i-psca,AACT
513,3407,724781,124i-fiau,AACT
514,3408,634111,124i-meta-iodobenzylguanidine,AACT
515,3410,546684,131i-sgmib anti-her2 vhh1,AACT
516,3413,811903,spirulina,AACT
517,3418,558960,debio 1450,AACT
518,3438,573719,ag-120,AACT
519,3440,614137,benzyl ambroxol,AACT
520,3444,614136,cyclohexane,AACT
521,3446,604573,dk-ah 269 cl,AACT
522,3449,DB12253,gdc-0810,DrugBank
523,3450,DB12180,apitolisib,DrugBank
524,3451,539222,gsk3191607,AACT
525,3455,DB11732,lasmiditan,DrugBank
526,3460,5048,wakix,Drug Central
527,3462,DB12543,samidorphan,DrugBank
528,3464,520585,sk-1404,AACT
529,3465,524737,sk-1405,AACT
530,3470,500410,azd0284,AACT
531,3473,541339,bi 1482694,AACT
532,3475,690723,kwa-0711,AACT
533,3476,DB11560,lesinurad,repoDB
534,3480,DB11963,dacomitinib anhydrous,DrugBank
535,3481,DB12287,talsaclidine,DrugBank
536,3487,581817,18f-6-l-fluorodihydroxyphenylalanine,AACT
537,3489,678575,18f 4-l-fluoroglutamine,AACT
538,3490,709062,18f cfpypb,AACT
539,3492,530006,18f fes,AACT
540,3494,59707743;25091062,18f-fluciclatide,PubChem
541,3498,563974,18f ge-180,AACT
542,3499,587271,18f lbt-999,AACT
543,3500,740218,mni-558,AACT
544,3502,741205,pbr111,AACT
545,3509,772573,18f-feppa,AACT
546,3512,733560,18f-fmh3,AACT
547,3513,537114,18f-ftc-146,AACT
548,3515,830316,18f substance p,AACT
549,3518,918120,ski-249380,AACT
550,3520,548452,3f-phpg,AACT
551,3521,588259,4f-mhpg,AACT
552,3522,703310,av-45,AACT
553,3527,503386,arag,AACT
554,3531,10021692,fallypride,PubChem
555,3532,694413,fdg,AACT
556,3535,585022,fes,AACT
557,3536,875724,fhbg,AACT
558,3540,684801,18f fluorbetaox,AACT
559,3543,564031,18f fluoroestradiol,AACT
560,3545,557064,18f fluoroglucose,AACT
561,3547,576620,18f fluorthanatrace,AACT
562,3548,589084,18f fluortriopride,AACT
563,3550,823772,18f fmpep-d2,AACT
564,3551,546584,18f fp-r01-mg-f2,AACT
565,3552,541634,18f fpeb,AACT
566,3554,528680,18f ftp,AACT
567,3555,576582,18f-gp1,AACT
568,3558,612813,iso-1,AACT
569,3559,774732,mk-3328,AACT
570,3560,563522,mk-6240,AACT
571,3561,708828,mk-9470,AACT
572,3562,572695,mni-792,AACT
573,3564,567905,mni-815,AACT
574,3565,709066,mppf,AACT
575,3566,664040,nav4694,AACT
576,3568,542013,pgm299,AACT
577,3569,531790,ro6958948,AACT
578,3570,831573,sp203,AACT
579,3576,59552698,vm4-037,PubChem
580,3579,2144,phenylalanine,Drug Central
581,3580,799197,[3'-deoxy-3'-[f-18] fluorothymidine,AACT
582,3581,529299,[3-3h]-glucose,AACT
583,3582,789240,bms747158,AACT
584,3584,658112,68ga aby-025,AACT
585,3586,632536,68ga mln6907,AACT
586,3587,527307,68ga p15-041,AACT
587,3590,529702,"[7,7,8,8-2h]-palmitate",AACT
588,3593,590342,t-773,AACT
589,3595,DB11911,galunisertib,DrugBank
590,3596,DB12381,merestinib,DrugBank
591,3598,686742,ly3023703,AACT
592,3599,553460,ro7034067,AACT
593,3604,584080,[benzyl-7-14c]-idalopirdine,AACT
594,3605,18147,meta-hydroxyephedrine,PubChem
595,3606,DB01954,rolipramum,DrugBank
596,3607,665613,menet,AACT
597,3608,675710,omar,AACT
598,3611,612425,pk-1195,AACT
599,3614,46861623,azd9668,PubChem
600,3615,412,nornicotine,PubChem
601,3621,584079,[ethyl-1-14c]-idalopirdine,AACT
602,3626,907827,18f fp-tztp,AACT
603,3630,706566,18f 5-fluoro-2'-deoxycytidine,AACT
604,3632,833143,18f fbr,AACT
605,3635,829061,18f fluoro-dopa,AACT
606,3639,769840,rgd-k5,AACT
607,3640,774758,w372,AACT
608,3642,675212,t808,AACT
609,3643,611374,fddnp,AACT
610,3644,,florbetapir f 18 injection,nme
611,3646,89094591,cp-18,PubChem
612,3648,622157,cpd-1028,AACT
613,3649,884577,metenkephalin,AACT
614,3656,DB12167,ly-3023414,DrugBank
615,3657,596680,ly3202626,AACT
616,3658,914713,ly3337641,AACT
617,3660,DB12008,prexasertib,DrugBank
618,3690,834862,hb-110,AACT
619,3694,3017,benzyldodecyldimethylammonium chloride,Drug Central
620,3704,670756,wt1-specific donor-derived t cells,AACT
621,3706,845282,a-001,AACT
622,3721,DB12330,blisibimod,DrugBank
623,3724,822031,resimmune,AACT
624,3731,DB00035,desmopressin,repoDB
625,3737,651322,a2ntx,AACT
626,3738,DB12486,elobixibat,DrugBank
627,3739,629571,a3384,AACT
628,3741,591605,a4250,AACT
629,3742,633727,urokinase-derived peptide a6,AACT
630,3747,561915,mydc,AACT
631,3766,720711,pf-05236812,AACT
632,3771,819508,zuragen,AACT
633,3773,594227,aav2-hchm,AACT
634,3777,10074640,masitinib,WITHDRAWN
635,3778,576513,ab103,AACT
636,3795,DB01048,abacavir,repoDB
637,3809,DB05489,aca 125,DrugBank
638,3811,DB11932,abametapir,DrugBank
639,3812,DB00106,abarelix,repoDB
640,3827,563126,abbv-085,AACT
641,3828,591009,abbv-221,AACT
642,3829,567926,abbv-257,AACT
643,3830,626933,abbv-399,AACT
644,3831,510494,abbv-428,AACT
645,3832,511102,abbv-838,AACT
646,3834,925855,abbv-927,AACT
647,3835,925772,abbv-951,AACT
648,3876,DB12100,abediterol,DrugBank
649,3880,794359,abeladrug200,AACT
650,3881,609153,abelmoschus manihot,AACT
651,3887,516838,abgn-107,AACT
652,3889,708276,abgn-7,AACT
653,3890,789378,abgn168,AACT
654,3901,832631,nab-docetaxel,AACT
655,3903,818569,nab-rapamycin,AACT
656,3905,792945,abi-010,AACT
657,3906,560701,abi-011,AACT
658,3908,DB12258,abicipar pegol,DrugBank
